address,contacts,contacts_phones,contacts_emails,contacts_json,hasJurnal,hasMeeting,id,imageToken,lat,lng,name,regionId,regionName,schoolKind,schoolKindId,schoolType,schoolTypeId,siteUrl,subjection,subjectionId,utisCode
"Nəsimi, S.Rüstəmov küç. 35",mekteb_school_164@mail.ru;0124401663;164mekteb@bakuedu.gov.az;mekteb_school_164@mail.ru;164mekteb@bakuedu.gov.az,0124401663,mekteb_school_164@mail.ru;164mekteb@bakuedu.gov.az;mekteb_school_164@mail.ru;164mekteb@bakuedu.gov.az,"[{""id"": 57789, ""value"": ""mekteb_school_164@mail.ru"", ""typeId"": 3}, {""id"": 4714, ""value"": ""0124401663"", ""typeId"": 1}, {""id"": 58437, ""value"": ""164mekteb@bakuedu.gov.az;mekteb_school_164@mail.ru"", ""typeId"": 3}, {""id"": 57788, ""value"": ""164mekteb@bakuedu.gov.az"", ""typeId"": 3}]",True,True,4990,,40.384695,49.842975,Bakı şəhəri Eldar Tağızadə adına 164 nömrəli tam orta ümumtəhsil məktəbi,1000024,Nəsimi,Tam orta,20000009,Məktəb,20000007,https://bakimektebleri.edu.az/164/,Bakı Şəhəri üzrə Təhsil İdarəsi,1000002,138043367
"Nizami, Kürçaylı küç.-17",145mekteb@baku.edu.gov.az;145mekteb@bakuedu.gov.az;0124213075;0124213079;0124227649,0124213075|0124213079|0124227649,145mekteb@baku.edu.gov.az;145mekteb@bakuedu.gov.az,"[{""id"": 57790, ""value"": ""145mekteb@baku.edu.gov.az"", ""typeId"": 3}, {""id"": 57791, ""value"": ""145mekteb@bakuedu.gov.az"", ""typeId"": 3}, {""id"": 4718, ""value"": ""0124213075"", ""typeId"": 1}, {""id"": 4719, ""value"": ""0124213079"", ""typeId"": 1}, {""id"": 4720, ""value"": ""0124227649"", ""typeId"": 1}]",True,True,4992,7923a4fd-5a65-4827-8671-fa843126288e.jpeg,40.418324,49.93991,145 nömrəli tam orta məktəb,1000006,Nizami,Tam orta,20000009,Məktəb,20000007,https://bakimektebleri.edu.az/145/,Bakı Şəhəri üzrə Təhsil İdarəsi,1000002,253371454
"Ağstafa,   Köçəsgər kəndi",0222265385;kocesgerkend1@gmail.com;mexmat432@mail.ru;kocesgerkend1@gmail.com;mexmat432@mail.ru,0222265385,kocesgerkend1@gmail.com;mexmat432@mail.ru;kocesgerkend1@gmail.com;mexmat432@mail.ru,"[{""id"": 6806, ""value"": ""0222265385"", ""typeId"": 1}, {""id"": 58050, ""value"": ""kocesgerkend1@gmail.com"", ""typeId"": 3}, {""id"": 58051, ""value"": ""mexmat432@mail.ru"", ""typeId"": 3}, {""id"": 60073, ""value"": ""kocesgerkend1@gmail.com;mexmat432@mail.ru"", ""typeId"": 3}]",False,False,5873,,0.0,0.0,Ağstafa rayonu Köçəsgər kəndi Hümmət Əlizadə adına 1 nömrəli tam orta ümumtəhsil məktəbi,1000034,Ağstafa,Tam orta,20000009,Məktəb,20000007,,Qazax - Tovuz Regional Təhsil İdarəsi,1006928,562658822
"Ağstafa, Pirili kəndi",0518960541;nesibova.s@list.ru,0518960541,nesibova.s@list.ru,"[{""id"": 6810, ""value"": ""0518960541"", ""typeId"": 1}, {""id"": 6811, ""value"": ""nesibova.s@list.ru"", ""typeId"": 3}]",False,False,5875,79d8e7e6-588c-48c5-ab62-bab7627650a5.jpeg,0.0,0.0,Ağstafa rayonu Məcid Əhmədov adına Pirili kənd tam orta ümumtəhsil məktəbi,1000034,Ağstafa,Tam orta,20000009,Məktəb,20000007,,Qazax - Tovuz Regional Təhsil İdarəsi,1006928,427923466
"Ağstafa, Muğanlı kəndi",0222279293;mustafa_efendi66@mail.ru,0222279293,mustafa_efendi66@mail.ru,"[{""id"": 6808, ""value"": ""0222279293"", ""typeId"": 1}, {""id"": 6809, ""value"": ""mustafa_efendi66@mail.ru"", ""typeId"": 3}]",False,False,5874,be43df0b-316b-472e-82a7-94b43dd031b4.jpeg,0.0,0.0,Muğanlı kənd F.Kərimov adına tam orta məktəb,1000034,Ağstafa,Tam orta,20000009,Məktəb,20000007,,Qazax – Tovuz Regional Təhsil İdarəsi,1006928,901358207
"Ağstafa, Poylu kəndi",0222263174;xatire.hemidqizi@gmail.com;0506703410;0558528350,0222263174|0506703410|0558528350,xatire.hemidqizi@gmail.com,"[{""id"": 6812, ""value"": ""0222263174"", ""typeId"": 1}, {""id"": 6815, ""value"": ""xatire.hemidqizi@gmail.com"", ""typeId"": 3}, {""id"": 6813, ""value"": ""0506703410"", ""typeId"": 1}, {""id"": 6814, ""value"": ""0558528350"", ""typeId"": 1}]",False,False,5876,b5d16cd2-d21f-4f7b-96fe-52792892ec87.jpeg,0.0,0.0,Ağstafa rayonu Siracəddin Məmmədov adına Poylu kənd tam orta ümumtəhsil məktəbi,1000034,Ağstafa,Tam orta,20000009,Məktəb,20000007,,Qazax - Tovuz Regional Təhsil İdarəsi,1006928,477667447
"Ağstafa, Poylu qəsəbə",0709691665;maxanovav@mail.ru.,0709691665,maxanovav@mail.ru.,"[{""id"": 6816, ""value"": ""0709691665"", ""typeId"": 1}, {""id"": 6817, ""value"": ""maxanovav@mail.ru."", ""typeId"": 3}]",False,False,5877,,0.0,0.0,Ağstafa rayonu Poylu qəsəbə tam orta ümumtəhsil məktəbi,1000034,Ağstafa,Tam orta,20000009,Məktəb,20000007,,Qazax - Tovuz Regional Təhsil İdarəsi,1006928,786906051
"Ağstafa, Qarahəsənli kəndi",0222262235;qarahesenlimektebi01@gmail.com,0222262235,qarahesenlimektebi01@gmail.com,"[{""id"": 6818, ""value"": ""0222262235"", ""typeId"": 1}, {""id"": 6819, ""value"": ""qarahesenlimektebi01@gmail.com"", ""typeId"": 3}]",False,False,5878,,0.0,0.0,Ağstafa rayonu Bəhlul Məmmədov adına Qarahəsənli kənd ümumi orta ümumtəhsil məktəbi,1000034,Ağstafa,Ümumi orta,20000010,Məktəb,20000007,,Qazax - Tovuz Regional Təhsil İdarəsi,1006928,846157488
"Ağstafa, Qarayazı qəsəbə",0706900459;agstafautm028@gmail.com,0706900459,agstafautm028@gmail.com,"[{""id"": 6820, ""value"": ""0706900459"", ""typeId"": 1}, {""id"": 6821, ""value"": ""agstafautm028@gmail.com"", ""typeId"": 3}]",False,False,5879,,0.0,0.0,Ağstafa rayonu Niyaz Mustafayev adına Qarayazı qəsəbə tam orta ümumtəhsil məktəbi,1000034,Ağstafa,Tam orta,20000009,Məktəb,20000007,,Qazax - Tovuz Regional Təhsil İdarəsi,1006928,239895871
"Ağstafa, Qıraq Kəsəmən",0222268450;vuqar.veliyev.1979@mail.ru,0222268450,vuqar.veliyev.1979@mail.ru,"[{""id"": 6824, ""value"": ""0222268450"", ""typeId"": 1}, {""id"": 6825, ""value"": ""vuqar.veliyev.1979@mail.ru"", ""typeId"": 3}]",False,False,5881,6130455f-beca-41ef-99be-b41588952531.jpeg,0.0,0.0,Ağstafa rayonu Xanməmməd Mirzəyev adına Qıraq Kəsəmən kənd tam orta ümumtəhsil məktəbi,1000034,Ağstafa,Tam orta,20000009,Məktəb,20000007,,Qazax - Tovuz Regional Təhsil İdarəsi,1006928,824406792
